ORDER_ID	CLASS
49916	0
49918	1
49920	0
49921	0
49922	0
49925	0
49926	0
49932	1
49934	0
49936	1
49948	1
49950	0
49952	0
49954	0
49955	0
49958	0
49961	0
49963	1
49964	0
49966	0
49969	0
49970	0
49971	0
49972	0
49976	0
49977	0
49978	1
49979	1
49980	0
49982	0
49984	0
49988	0
49990	1
49996	0
49628	0
49631	1
49633	0
49634	0
49635	0
49638	1
49639	1
49642	0
49646	0
49647	0
49649	0
49650	0
49652	1
49653	0
49655	0
49662	0
49663	1
49664	0
49666	0
49667	0
49669	0
49672	0
49677	0
49679	1
49680	0
49686	1
49690	1
49692	1
49693	0
49697	0
49700	0
49701	0
49703	0
49706	0
49707	0
49710	0
49713	0
49718	0
49719	0
49723	0
49724	0
49725	0
49726	0
49727	1
49733	0
49736	1
49737	0
49739	0
49741	0
49745	0
49747	0
49748	0
49750	1
49752	0
49754	0
49755	1
49756	0
49757	0
49758	0
49759	0
49764	0
49833	0
49834	0
49836	0
49838	1
49841	0
49847	0
49848	0
49850	0
49851	0
49855	0
49857	0
49858	0
49862	0
49865	1
49867	0
49868	0
49870	1
49871	0
49872	0
49875	0
49879	1
49883	0
49363	0
49364	1
49365	0
49366	0
49367	0
49368	0
49377	0
49381	0
49382	1
49386	0
49394	1
49395	1
49396	0
49398	0
49399	0
49405	0
49407	0
49408	0
49410	0
49412	0
49413	0
49415	0
49416	1
49423	0
49429	1
49433	1
49434	0
49436	0
49438	1
49439	0
49444	0
49445	0
49447	0
49448	1
49454	0
49455	0
49462	0
49464	0
49465	0
49466	0
49468	1
49469	1
49473	0
49474	0
49477	1
49482	0
49483	0
49485	0
49488	1
49490	0
49491	0
49493	0
49494	0
49497	1
49887	0
49889	0
49890	0
49892	1
49893	0
49896	0
49899	0
49901	1
49905	0
49907	0
49908	0
49911	0
49912	0
49913	0
49914	1
49915	1
45647	1
45648	1
45651	1
45653	0
45654	0
45655	1
45656	0
45657	0
45658	0
45659	0
45391	0
45392	0
45395	1
45396	0
45397	0
45404	0
45407	0
45411	0
45414	1
45417	0
45418	0
45425	1
45426	0
45433	0
45434	0
45435	0
45436	0
45437	1
45438	0
45439	1
45442	0
45444	0
45447	0
45453	0
45454	0
45455	0
45456	1
45461	0
45467	1
45468	0
45470	0
45472	1
45473	0
45474	0
45475	0
45477	0
45479	1
45481	0
45484	0
45485	1
45488	1
45491	1
45494	0
45495	0
45504	1
45505	0
45506	1
45508	0
45510	1
45516	0
45517	1
45520	1
45522	0
45523	0
45524	0
45526	1
45529	0
45531	0
45532	0
45533	1
45534	0
45535	0
45537	1
45538	0
45541	1
45542	0
45544	1
45545	0
45551	0
45552	0
45554	0
45559	0
45560	1
45563	0
45565	1
45566	1
45567	0
45569	0
45570	0
45571	1
45572	0
45573	0
45574	0
45576	0
45578	0
45582	0
45585	0
45589	0
45591	0
45594	0
45595	1
45597	0
45598	0
45599	1
45600	1
45601	1
45607	1
45609	0
45611	0
45613	1
45614	1
45615	1
45617	1
45622	0
45623	0
45627	1
45628	0
45632	0
45636	0
45638	1
45642	0
45645	0
45132	1
45135	0
45137	0
45139	0
45141	0
45143	0
45146	1
45150	1
45154	0
45156	0
45158	1
45159	0
45160	1
45162	0
45166	1
45167	0
45168	0
45172	0
45176	1
45178	0
45182	1
45183	0
45186	1
45190	0
45192	0
45195	0
45198	0
45200	1
45208	0
45209	1
45210	0
45211	1
45213	0
45215	1
45218	0
45219	0
45224	0
45225	0
45228	0
45229	1
45231	1
45233	1
45235	0
45237	0
45238	0
45239	0
45245	1
45251	1
45254	0
45259	1
45265	1
45266	0
45267	0
45269	0
45271	1
45273	1
45274	0
45275	0
45276	0
45278	0
45279	0
45280	0
45284	0
45286	0
45287	1
45288	0
45290	0
45293	0
45303	0
45311	0
45312	0
45314	1
45317	0
45318	0
45319	0
45320	0
45323	0
45324	0
45326	1
45327	0
45331	0
45332	0
45333	0
45334	0
45336	1
45337	1
45338	1
45340	1
45341	1
45343	0
45346	0
45348	0
45349	1
45351	0
45353	0
45354	0
45359	1
45360	0
45361	0
45362	1
45365	0
45366	0
45369	0
45373	0
45374	0
45375	0
45380	1
45381	0
45385	0
45386	1
45387	0
44873	0
44876	0
44877	0
44883	0
44885	0
44888	0
44889	0
44891	0
44893	0
44900	0
44902	0
44909	0
44913	0
44915	0
44917	0
44922	1
44925	0
44926	0
44931	0
44932	0
44934	0
44937	0
44938	0
44940	0
44942	0
44946	0
44947	0
44950	0
44952	1
44953	0
44955	0
44958	1
44960	1
44961	0
44965	0
44968	1
44972	1
44974	0
44975	0
44976	0
44978	1
44982	0
44988	1
44993	0
44995	0
45007	1
45008	0
45010	0
45011	0
45012	0
45013	0
45014	0
45016	0
45020	0
45022	1
45025	0
45028	0
45033	0
45034	1
45035	1
45037	1
45038	0
45039	0
45041	0
45043	0
45046	0
45047	0
45049	0
45050	1
45060	1
45065	0
45066	1
45067	0
45069	1
45070	0
45073	0
45077	0
45078	1
45080	1
45081	0
45084	0
45085	0
45090	1
45091	0
45095	0
45100	1
45102	0
45103	0
45104	0
45106	0
45108	0
45109	1
45111	0
45115	0
45118	0
45120	0
45125	0
44615	0
44619	0
44621	1
44623	0
44625	0
44627	1
44628	1
44629	1
44631	0
44638	0
44645	0
44647	1
44648	0
44651	0
44654	0
44658	0
44664	0
44667	0
44668	0
44670	0
44672	0
44673	1
44675	0
44678	1
44682	0
44684	1
44686	0
44691	0
44694	1
44703	0
44704	0
44706	0
44708	0
44709	0
44715	0
44718	1
44720	0
44722	0
44727	0
44731	0
44734	0
44735	0
44736	0
44737	0
44739	1
44742	0
44744	0
44748	0
44749	0
44750	0
44753	0
44757	0
44758	1
44760	1
44762	0
44765	0
44770	0
44771	0
44772	0
44773	0
44774	0
44776	0
44777	0
44780	0
44781	0
44783	1
44786	0
44790	1
44791	0
44792	1
44794	0
44795	0
44796	0
44800	0
44801	0
44804	0
44805	0
44806	0
44815	1
44819	1
44820	0
44824	0
44830	1
44831	1
44833	0
44837	0
44846	0
44852	0
44854	0
44855	0
44856	0
44861	1
44862	0
44863	0
44867	0
44868	0
44870	0
44353	0
44355	1
44357	0
44358	0
44359	0
44361	0
44363	0
44365	1
44366	1
44367	0
44369	0
44370	0
44371	1
44372	0
44374	0
44375	0
44378	1
44380	0
44384	1
44389	0
44396	0
44399	1
44402	0
44408	0
44413	1
44417	0
44419	0
44422	0
44426	0
44427	0
44428	1
44429	1
44430	0
44431	0
